1	47415.0	49923.0
2	44977.0	46990.0
3	42092.0	43525.0
4	44408.0	42633.0
5	42259.0	39904.0
6	40425.0	36761.0
7	38659.0	34032.0
8	41961.5	38479.0
9	39625.0	35545.0
10	37423.0	33186.5
11	35589.0	30871.0
12	37905.0	30521.0
13	36386.0	28160.0
14	34958.0	25799.0
15	33754.0	23942.0
16	37056.5	29157.5
17	35376.0	26799.0
18	33857.0	24927.0
19	32653.0	23055.0
20	34958.0	22846.0
21	33754.0	20853.0
22	32889.0	18952.0
23	32024.0	16959.0
24	37056.5	22174.5
25	35585.0	19816.0
26	34405.0	17944.0
27	33540.0	16072.0
28	34958.0	15863.0
29	34331.0	14162.0
30	33704.0	12169.0
31	33286.0	10350.0
32	37056.5	13693.5
33	36323.5	11335.0
34	35905.5	8987.0
35	35585.0	6258.0
36	35167.0	6049.0
37	34958.0	4288.0
38	34749.0	2295.0
39	34540.0	302.0
40	37056.5	2174.0
41	36847.5	93.0
42	36847.5	0.0
